Campaign,CWSAC Reference #,Date(s),Description,Estimated Casualties,Forces Engaged,Location,Other Names,Preservation Priority,Principal Commanders,Result(s),"

On April 30, Confederate Brig. Gen. Nathan Bedford Forrests brigade caught
up with Streights expedition and attacked its rearguard at Days Gap on
Sand Mountain. The Federals repulsed this attack and continued their march
to avoid further delay and envelopment. Thus began a running series of
skirmishes and engagements at Crooked Creek (April 30), Hog Mountain (April
30), Blountsville (May 1), Black Creek/Gadsden (May 2), and Blounts Plantation (May 2). Forrest finally surrounded the exhausted Union soldiers near Rome, Georgia, where he forced their surrender on May 3.

", ,"
CWSAC Reference #","
Preservation Priority","
Result(s)","
Results(s)","

Location","

Date(s)","

Campaign",Battles Associated with the Operations,"   

Sherman first found Johnston's army entrenched in the Marietta area on June 9.  The Confederate's had established defensive lines along Brushy, Pine, and Lost Mountains.  Sherman extended his forces beyond the Confederate lines, causing a partial Rebel withdrawal to another line of positions. After further pressure and skirmishing from Union forces, Johnston withdrew to an arc-shaped position centered on Kennesaw Mountain on June 18 and 19. Sherman made some unsuccessful attacks on this position but eventually extended the line on his right and forced Johnston to withdrawal from the Marietta area on July 2-3.


"
" Peninsula Campaign (March-September 1862)

","  VA015

"," June 25, 1862

"," Oak Grove was the first of the Seven Days battles. On
June 25, Maj. Gen. George B. McClellan advanced his lines along the Williamsburg
Road with the objective of  bringing Richmond within range of his
siege guns. Union forces attacked over swampy ground with inconclusive
results, and darkness halted the fighting. McClellans attack was not strong
enough to derail the Confederate offensive that already had been set in
motion. The next day, Lee seized the initiative by attacking at Beaver
Dam Creek north of the Chickahominy.

"," 1,057 total (US 516; CS 541)
"," Corps

"," Henrico County

"," French�s Field, Kings School House


"," IV.2 (Class D)
","  Maj. Gen. George B. McClellan [US]; Gen. Robert
E. Lee [CS]


"," Inconclusive (Union forces withdrew to their lines.)


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Grant�s Overland Campaign (May-June 1864)
"," VA059

"," May 30, 1864

"," With the armies stalemated along the Totopotomoy Creek
line, the Federal cavalry began probing east and south. On May 30, Torberts
Division attacked and defeated Butler's Brigade near Old Church. Butler's
troopers were driven steadily back on the road to Old Cold Harbor, opening
the door for Sheridans capture of the important crossroads the next day.

"," 900 total

"," Brigades

"," Hanover County

"," Matadequin Creek

"," III.3 (Class C)
"," Brig. Gen. Alfred Torbert [US]; Brig. Gen. Matthew
C. Butler [CS]

"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Sheridan�s Shenandoah Valley Campaign (August-December 1864)

","VA119

"," September 19, 1864
","After Kershaws division left Winchester to rejoin Lees
army at Petersburg, Lt. Gen. Jubal A. Early renewed his raids on the B&O
Railroad at Martinsburg, badly dispersing his four remaining infantry divisions.
On September 19, Sheridan advanced toward Winchester along the Berryville
Pike with the VI and XIX Corps, crossing Opequon Creek. The Union advance
was delayed long enough for Early to concentrate his forces to meet the
main assault, which continued for several hours. Casualties were very heavy.
The Confederate line was gradually driven back toward the town. Mid-afternoon,
Crooks (VIII) Corps and the cavalry turned the Confederate left flank.
Early ordered a general retreat.  Confederate generals Rodes and Goodwin
were killed, Fitzhugh Lee, Terry, Johnson, and Wharton wounded. Union general
Russell was killed, McIntosh, Upton, and Chapman wounded. Because of its
size, intensity, and result, many historians consider this the most important
conflict of the Shenandoah Valley.


"," 8,630 total (US 5,020; CS 3,610)

"," 54,440 total(US 39,240; CS 15,200)

"," Frederick County


"," Third Winchester

"," IV.1 (Class A)
"," Maj. Gen. Philip Sheridan [US]; Lt. Gen. Jubal
A. Early [CS]

"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Richmond-Petersburg Campaign (June 1864-March 1865)

"," VA074

"," September 30-October 2, 1864

","In combination with Maj. Gen. Benjamin Butlers offensive
north of the James River, Lt. Gen. Ulysses S. Grant extended his left flank
to cut Confederate lines of communication southwest of Petersburg. Two
divisions of the IX corps under Maj. Gen. John G. Parke, two divisions
of the V Corps under Maj. Gen. G.K. Warren, and Brig. Gen. David M. Greggs
cavalry division were assigned to the operation. On September 30, the Federals
marched via Poplar Spring Church to reach Squirrel Level and Vaughan Roads.
The initial Federal attack overran Fort Archer, flanking the Confederates
out of their Squirrel Level Road line. Late afternoon, Confederate reinforcements
arrived, slowing the Federal advance. On October 1, the Federals repulsed
a Confederate counterattack directed by Lt. Gen. A.P. Hill. Reinforced
by Maj. Gen. Gershom Motts  division, the Federals resumed their
advance on the 2nd, captured Fort MacRae which was lightly defended, and
extended their left flank to the vicinity of Peebles and Pegrams Farms.
With these limited successes, Meade suspended the offensive. A new line
was entrenched from the Federal works on Weldon Railroad to Pegrams Farm.


"," 3,800 total

"," Corps

"," Dinwiddie County

","  Poplar Springs Church, Wyatts Farm, Chappells House,
Pegrams Farm, Vaughan Road, Harmon Road

"," II.2 (Class B)
"," Maj. Gen. George G. Meade, Maj. Gen. John G. Parke,
and Maj. Gen. G.K. Warren [US]; Lt. Gen. A.P. Hill and Maj. Gen. Wade Hampton
[CS]


"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Richmond-Petersburg Campaign (June 1864-March 1865)

"," VA098

"," June 9, 1864

"," On June 9, Maj. Gen. Benjamin Butler dispatched about 4,500
cavalry and infantry against the 2,500 Confederate defenders of Petersburg.
While Butler�s infantry demonstrated against the outer line of entrenchments
east of Petersburg, Kautzs cavalry division attempted to enter the city
from the south via the Jerusalem Plank Road but was repulsed by Home Guards. 
Afterwards, Butler withdrew. This was called the battle of old men and
young boys by local residents. On June 14-17, the Army of the Potomac
crossed the James River and began moving towards Petersburg to support
and renew Butlers assaults.

"," 120 total

"," 7,000 (US 4,500; CS 2,500)

"," City of Petersburg

"," Old Men and Young Boys

"," IV.2 (Class D)
"," Maj. Gen. Quincy Gillmore [US]; Gen. P.G.T. Beauregard

"," Confederate victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Richmond-Petersburg Campaign (June 1864-March 1865)

"," VA063

"," June 15-18, 1864

"," Marching from Cold Harbor, Meade�s Army of the Potomac
crossed the James River on transports and a 2,200-foot long pontoon bridge
at Windmill Point. Butlers leading elements (XVIII Corps and Kautzs cavalry)
crossed the Appomattox River at Broadway Landing and attacked the Petersburg
defenses on June 15. The 5,400 defenders of Petersburg under command of
Gen. P.G.T. Beauregard were driven from their first line of entrenchments
back to Harrison Creek. After dark the XVIII Corps was relieved by the
II Corps. On June 16, the II Corps captured another section of the Confederate
line; on the 17th, the IX Corps gained more ground. Beauregard stripped
the Howlett Line (Bermuda Hundred) to defend the city, and Lee rushed reinforcements
to Petersburg from the Army of Northern Virginia. The II, XI, and V Corps
from right to left attacked on June 18 but was repulsed with heavy casualties.
By now the Confederate works were heavily manned and the greatest opportunity
to capture Petersburg without a siege was lost. The siege of Petersburg
began. Union Gen. James St. Clair Morton, chief engineer of the IX Corps,
was killed on June 17.


"," 11,386 total (US 8,150; CS 3,236)

"," 104,000 total (US 62,000; CS 42,000)

"," City of Petersburg

"," Assault on Petersburg

"," III.1 (Class A)

"," Lt. Gen. Ulysses S. Grant and Maj. Gen. George G.
Meade [US]; Gen. Robert E. Lee and Gen. P.G.T. Beauregard [CS]

"," Confederate victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Appomattox Campaign (March-April 1865)
"," VA089

"," April 2, 1865


"," With Confederate defeat at Five Forks on April 1, Grant
and Meade ordered a general assault against the Petersburg lines by II,
IX, VI and XXIV Corps on April 2. A heroic defense of Fort Gregg by a handful
of Confederates prevented the Federals from entering the city that night.
Lt. Gen. A.P. Hill was killed trying to reach his troops in the confusion.
After dark, Lee ordered the evacuation of Petersburg and Richmond. Grant
had achieved one of the major military objectives of the war: the capture
of Petersburg, which led to the fall of Richmond, the Capitol of the Confederacy.


"," 7,750 total (US 3,500; CS 4,250)

"," Armies

"," City of Petersburg

"," Petersburg

"," I.1 (Class A)
"," Lt. Gen. Ulysses S. Grant [US]; Gen. Robert E.
Lee [CS]
"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Lynchburg Campaign (May-June 1864)

"," VA111

","June 5-6, 1864

"," After replacing Sigel in command of Union forces in the
Shenandoah Valley, Maj. Gen. David �Black Dave Hunter renewed the Union
offensive. On June 5, Hunter engaged the Confederate army under Grumble
Jones north of Piedmont. After severe fighting, a flanking movement made
by Thoburns brigade turned Joness right flank. While trying to stem the
retreat of his soldiers, Jones was killed. The retreat became a rout. More
than 1,000 Confederates, including 60 officers, were captured. Jones lost
three guns. Hunter occupied Staunton on June 6 and, after a pause to await
the arrival of Brig. Gen. George Crooks column, began to advance on Lynchburg,
destroying military stores and public property in his wake.

"," 2,375 total (US 875; CS 1500)
"," 14,000 total (US 8,500; CS 5,500)


"," Augusta County

"," Piedmont

"," II.2 (Class B)
"," Maj. Gen. David Hunter [US]; Brig. Gen. William
E. Jones [CS]

"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Jackson�s Shenandoah Valley Campaign (1862)



"," VA106

"," June 9, 1862

"," Maj. Gen. T.J. Jackson concentrated his forces east of
the South Fork of the Shenandoah against the isolated brigades of Tyler
and Carroll of Shieldss division, Brig. Gen. Erastus Tyler commanding.
Confederate assaults across the bottomland were repulsed with heavy casualties,
but a flanking column turned the Union left flank at the Coaling. Union
counterattacks failed to reestablish the line, and Tyler was forced to
retreat. Confederate forces at Cross Keys marched to join Jackson at Port
Republic burning the North River Bridge behind them. Frémonts army
arrived too late to assist Tyler and Carroll and watched helplessly from
across the rain-swollen river. After these dual defeats at Cross Keys and
Port Republic, the Union armies retreated, leaving Jackson in control of
the upper and middle Shenandoah Valley and freeing his army to reinforce
Lee before Richmond.

"," 1,818 total (US 1,002; CS 816)

"," 9,500 total (US 3,500; CS 6,000)

"," Rockingham County
","  None
"," II.2 (Class B)
"," Brig. Gen. Erastus Tyler [US]; Maj. Gen. Thomas
J. Jackson [CS]

"," Confederate victory.

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Bermuda Hundred Campaign (May-June 1864)

"," VA047

","  May 6-7, 1864

","In conjunction with the opening of Grant�s Overland Campaign,
Maj. Gen. Benjamin Butlers Army of the James, 33,000 strong, disembarked
from transports at Bermuda Hundred on May 5, threatening the Richmond-Petersburg
Railroad. On May 6, Hagoods brigade stopped initial Federal probes at
Port Walthall Junction. On May 7, a Union division drove Hagoods and Johnsons
brigades from the depot and cut the railroad at Port Walthall Junction.
Confederate defenders retired behind Swift Run Creek and awaited reinforcements.

"," 550 total


"," Divisions

"," Chesterfield County

"," None

"," II.3 (Class C)
"," Maj. Gen. Benjamin Butler [US]; Brig. Gen. Johnson
Hagood [CS]
"," Union victory


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Bermuda Hundred Campaign (May-June 1864)


"," VA053

"," May 12-16, 1864

"," After his repulse at Swift Creek and Fort Clifton on May
9, Maj. Gen. Benjamin Butler withdrew into his entrenchments at Bermuda
Hundred. A Confederate army of 18,000 was patched together under command
of Gen. P.G.T. Beauregard to confront Butlers 30,000. On May 12, Butler
moved north against the Confederate line at Drewrys Bluff but again adopted
a defensive posture when his attack was not supported by gunboats. On the
13th a Union column struck the right flank of the Confederate line at the
Wooldridge House, carrying a line of works. Butler remained cautious, however,
giving Beauregard time to concentrate his forces. On May 16 at dawn, Ransoms
Confederate division opened an attack on Butlers right flank, routing
many units. Subsequent attacks lost direction in the fog, but the Federals
were disorganized and demoralized. After severe fighting, Butler extricated
himself from battle, withdrawing again to his Bermuda Hundred Line. This
battle stopped Butlers offensive against Richmond.

","  6,660 total

"," 48,000 total (US 30,000; CS 18,000)


"," Chesterfield County
"," Drewrys Bluff, Fort Darling
"," IV.1 (Class B)

"," Maj. Gen. Benjamin Butler [US]; Gen. P.G.T. Beauregard
[CS]

"," Confederate victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Northern Virginia Campaign (June-September 1862)

"," VA023

"," August 22-25, 1862


"," Early August, Lee determined that McClellans army was
being withdrawn from the Peninsula to reinforce John Pope.  He sent
Longstreet from Richmond to join Jacksons wing of the army near Gordonsville
and arrived to take command himself on August 15. August 20-21, Pope withdrew
to the line of the Rappahannock River. On August 23, Stuarts cavalry made
a daring raid on Popes headquarters at Catlett Station, showing that the
Union right flank was vulnerable to a turning movement. Over the next several
days, August 22-25, the two armies fought a series of minor actions along
the Rappahannock River, including Waterloo Bridge, Lee Springs, Freemans
Ford, and Sulphur Springs, resulting in a few hundred casualties. Together,
these skirmishes primed Popes army along the river, while Jacksons wing
marched via Thoroughfare Gap to capture Bristoe Station and destroy Federal
supplies at Manassas Junction, far in the rear of Popes army.

"," 225 total

"," Brigades

"," Culpeper County and Fauquier County


"," Waterloo Bridge, White Sulphur Springs, Lee Springs, Freeman�s
Ford

"," II.4 (Class D)
"," Maj. Gen. John Pope [US]; Maj. Gen. Thomas J.
Jackson [CS]

"," Inconclusive


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Bristoe Campaign (October-November 1863)

"," VA043

"," November 7, 1863

"," On November 7, the Union army forced passage of the Rappahannock
River at two places. A dusk attack overran the Confederate bridgehead at
Rappahannock Station, capturing more than 1,600 men of Jubal Early�s Division.
Fighting at Kellys Ford was less severe with about 430 casualties, but
the Confederates retreated allowing the Federals across in force. On the
verge of going into winter quarters around Culpeper, Lees army retired
instead into Orange County south of the Rapidan River. The Army of the Potomac
occupied the vicinity of Brandy Station and Culpeper County.
"," 2,537 total (1,600 Confederate prisoners)


"," Corps

"," Fauquier County and Culpeper County

"," None

"," IV.1 (Class B)
"," Maj. Gen. George G. Meade [US]; Gen. Robert E.
Lee [CS]

"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Richmond-Petersburg Campaign (June 1864-March 1865)

"," VA068

"," June 29, 1864

"," Early morning June 29, Brig. Gen. August Kautzs division
reached Reams Station on the Weldon Railroad, which was thought to be
held by Union infantry.  Instead, Kautz found the road barred by Mahones
Confederate infantry division. Wilsons division, fighting against elements
of William H.F.  Rooney Lees cavalry,  joined Kautzs near
Reams Station, where they were virtually surrounded. About noon, Mahones
infantry assaulted their front while Fitzhugh Lees cavalry division threatened
the Union left flank. The raiders burned their wagons and abandoned their
artillery. Separated by the Confederate attacks, Wilson and his men cut
their way through and fled south on the Stage Road to cross Nottoway River,
while Kautz went cross-country, reaching Federal lines at Petersburg about
dark. Wilson continued east to the Blackwater River before turning north,
eventually reaching Union lines at Light House Point on July 2. The Wilson-Kautz
raid tore up more than 60 miles of track, temporarily disrupting rail traffic
into Petersburg, but at a great cost in men and mounts.
"," 600 total  (1,817 for entire raid)

"," Divisions

"," Dinwiddie County

"," Reams' Station
"," III.3 (Class C)
"," Maj. Gen. James Wilson and Brig. Gen. August Kautz
[US]; Maj. Gen. William Mahone and Maj. Gen. Fitzhugh Lee [CS]


"," Confederate victory
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Richmond-Petersburg Campaign (June 1864-March 1865)

"," VA073

"," August 25, 1864


"," On August 24, Union II Corps moved south along the Weldon
Railroad, tearing up track, preceded by Greggs cavalry division. On August
25, Maj. Gen. Henry Heth attacked and overran the faulty Union position
at Reams Station, capturing 9 guns, 12 colors, and many prisoners. The
old II Corps was shattered.  Maj. Gen. Winfield Scott Hancock withdrew
to the main Union line near the Jerusalem Plank Road, bemoaning the declining
combat effectiveness of his troops.

","  3,492 total

"," Corps

"," Dinwiddie County

"," Reams' Station
"," II.2 (Class B)
"," Maj. Gen. Winfield Scott Hancock [US]; Maj. Gen.
Henry Heth [CS]

"," Confederate victory


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Appomattox Campaign (March-April 1865)

"," VA092

"," April 6, 1865


","On April 6, Longstreets command reached Rices Station,
its farthest point south, where it was blocked by Union XXIV Corps. After
some skirmishing, Longstreet withdrew over the High Bridge during the night
toward Farmville.

"," Few

"," Corps
"," Prince Edward County

"," Rices Depot
"," II.4 (Class D)
"," Maj. Gen. John Gibbon [US]; Lt. Gen. James Longstreet
[CS]

"," Union victory
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Earlys Raid and Operations against the B&O Railroad (June-August
1864)
"," VA115

"," July 20, 1864

"," On July 20, Brig. Gen. W.W. Averells Union division attacked
Maj. Gen. S.D. Ramseurs Confederate division at Rutherfords and Carters
farms. This sudden assault came in on the flank of Hokes brigade as it
was deploying, throwing it into a panic. Ramseur retreated toward Winchester
in confusion. Averell captured four pieces of artillery and nearly 300
men. With this defeat, Early withdrew his army south to a defensive position
at Fishers Hill.

"," 1,100 total

"," Divisions(5,850 total)

"," Frederick County and Winchester

"," None

"," IV.1 (Class D)
","  Commanders: Brig. Gen. William W. Averell [US]; Maj. Gen.
S.D. Ramseur [CS]

"," Union victory


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Grants Overland Campaign (May-June 1864)


","  VA066

"," June 24, 1864

","On June 24, Maj. Gen. Wade Hamptons cavalry attempted
to cut off Sheridans cavalry returning from their raid to Trevilian Station.
Sheridan fought a delaying action to protect a long supply train under
his protection, then rejoined the Union army at Bermuda Hundred.


"," 630 total

"," Divisions
","  Charles City

"," Nance's Shop

"," III.4 (Class D)
"," Maj. Gen. Philip Sheridan [US]; Maj. Gen. Wade
Hampton [CS]

"," Inconclusive

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Chancellorsville Campaign (April-May 1863)

"," VA033

"," May 3-4, 1863

","  After occupying Maryes Heights on May 3, Sedgwicks VI
Corps marched out on the Plank Road with the objective of reaching Hookers
force at Chancellorsville. He was delayed by Wilcoxs brigade of Earlys
force at Salem Church.  During the afternoon and night, Lee detached
two of his divisions from the Chancellorsville lines and marched them to
Salem Church. Several Union assaults were repulsed the next morning with
heavy casualties, and the Confederates counterattacked, gaining some ground.
After dark, Sedgwick withdrew across two pontoon bridges at Scotts Dam
under a harassing artillery fire.  Hearing that Sedgwick had been
repulsed, Hooker abandoned the campaign, recrossing on the night of May
5-6 to the north bank of the Rappahannock.
"," 5,000 total

"," Corps

"," Spotsylvania County

"," Banks� Ford

"," IV.1 (Class B)

"," Maj. Gen. John Sedgwick [US]; Gen. Robert E. Lee
[CS]

"," Confederate victory


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Stoneman�s Raid into Southwest Virginia (December 1864)


","  VA082

"," December 20-21, 1864


"," After defeating a Confederate force at Marion on the December
17-18, Stonemans expedition advanced to Saltville.  After determined
skirmishing on the part of the outnumbered Confederate defenders, the Federals
captured and destroyed the saltworks, accomplishing the objective of their
raid.
"," Unknown

"," Divisions
"," Smyth County

"," None

"," II.3 (Class C)
"," Maj. Gen. George Stoneman [US]; Maj. Gen.
John C. Breckinridge [CS]

"," Union victory
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Burbridge�s Raid into Southwest Virginia (September-October
1864)

"," VA076

"," October 2, 1864

"," Union cavalry and infantry raiders led by Brig. Gen. Stephen
Burbridge attempted to destroy the saltworks near Saltville. He was delayed
at Clinch Mountain and Laurel Gap by a makeshift Confederate force, enabling
Brig. Gen. Alfred E. Jackson to concentrate troops near Saltville to meet
him. On the morning of October 1, the Federals attacked but made little
headway. Confederate reinforcements continued to arrive during the day. 
After day-long fighting, Burbridge retired without accomplishing his objective.
Afterwards, Confederate soldiers were said to have murdered, captured,
and wounded black soldiers.


"," 458 total

"," Divisions  (11,000 total)

"," Smyth County
"," None

"," II.3 (Class C)
","  Brig. Gen. Stephen Burbridge [US]; Brig. Gen.
Alfred E. Jackson [CS]


"," Confederate victory
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Richmond-Petersburg Campaign (June 1864-March 1865)

"," VA067

"," June 28, 1864

","  Maj. Gen. William H.F. �Rooney Lees cavalry division
pursued Wilsons and Kautzs raiders who failed to destroy the Staunton
River Bridge on June 25. Wilson and Kautz headed east and, on June 28,
crossed the Nottoway River at the Double Bridges and headed north to Stony
Creek Depot on the Weldon Railroad. Here, they were attacked by Maj. Gen.
Wade Hamptons cavalry division. Later in the day, William H.F. Lees Division
arrived to join forces with Hampton, and the Federals were heavily pressured.
During the night, Wilson and Kautz disengaged and pressed north on the
Halifax Road for the supposed security of Reams Station, abandoning many
fleeing slaves who had sought security with the Federal raiders.

"," 1,817 for entire raid

"," Divisions

"," Sussex County

"," Stony Creek Depot

"," III.4 (Class D)
"," Brig. Gen. James Wilson and Brig. Gen. August
Kautz [US]; Maj. Gen. Wade Hampton [CS]
"," Confederate victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Peninsula Campaign (March-September 1862)


","  VA019
"," June 29, 1862

"," Fourth of the Seven Days Battles. On June 29, the main
body of the Union army began a general withdrawal toward the James River. 
Magruder pursued along the railroad and the Williamsburg Road and struck
Sumners Corps (the Union rearguard) with three brigades near Savages
Station.  Confederate Brig. Gen. Richard Giffith was mortally wounded
during the fight.  Jacksons divisions were stalled north of the Chickahominy.
Union forces continued to withdraw across White Oak Swamp, abandoning supplies
and more than 2,500 wounded soldiers in a field hospital.
","   4,700 total (US 2,500 wounded were captured)

"," Divisions

"," Henrico County

"," None

"," IV.1 (Class C)
"," Maj. Gen. Edwin Sumner [US]; Maj. Gen. John Magruder
[CS]

"," Inconclusive

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Appomattox Campaign (March-April 1865)

"," VA093

","  April 6, 1865

"," On April 6 at Sailors Creek, nearly one fourth of the

retreating Confederate army was cut off by Sheridans Cavalry and elements

of the II and VI Corps. Most surrendered, including Confederate generals

Richard S. Ewell, Barton, Simms, Kershaw, Custis Lee, Dubose, Hunton, and

Corse. This action was considered the death knell of the Confederate army.

Upon seeing the survivors streaming along the road, Lee exclaimed My God,

has the army dissolved?

"," 9,980 total

"," Corps


"," Amelia County, Prince Edward County, and Nottoway County

"," Hillsman Farm, Lockett Farm


"," II.2 (Class B)
"," Maj. Gen. Philip Sheridan [US]; Lt. Gen. Richard

Ewell and Maj. Gen. John B. Gordon [CS]
"," Union victory


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Peninsula Campaign (March-September 1862)

"," VA014

"," May 31-June 1, 1862

"," On May 31, Gen. Joseph E. Johnston attempted to overwhelm
two Federal corps that appeared isolated south of the Chickahominy River.
The Confederate assaults, though not well coordinated, succeeded in driving
back the IV Corps and inflicting heavy casualties. Reinforcements arrived,
and both sides fed more and more troops into the action. Supported by the
III Corps and Sedgwick�s division of Sumners II Corps (that crossed the
rain-swollen river on Grapevine Bridge), the Federal position was finally
stabilized. Gen. Johnston was seriously wounded during the action, and
command of the Confederate army devolved temporarily to Maj. Gen. G.W.
Smith. On June 1, the Confederates renewed their assaults against the Federals
who had brought up more reinforcements but made little headway. Both sides
claimed victory.  Confederate brigadier Robert H. Hatton was killed.

"," 13,736 total (US 5,739; CS 7,997)

"," (84,000 total)

","  Henrico County
"," Fair Oaks, Fair Oaks Station

"," IV.2 (Class B)
","  Maj. Gen. George B. McClellan [US]; Gen. Joseph
E. Johnston and Maj. Gen. G.W. Smith [CS]

"," Inconclusive

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"  Blockade of the Chesapeake Bay (May-June 1861)

"," VA001

"," May 18-19, 1861

"," Two Union gunboats, including USS Monticello, dueled with
Confederate batteries on Sewells Point in an attempt to enforce the blockade
of Hampton Roads. The two sides did each other little harm.


"," 10 total

"," Two gunboats [US]; battery garrison [CS]

"," Norfolk City

"," None

"," IV.2 (Class D)
"," Lt. D.L. Braine U.S.N. [US]; Brig. Gen. Walter
Gwynn and Capt. Peyton Colquitt [CS]


"," Inconclusive


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Grants Overland Campaign (May-June 1864)

"," VA048

"," May 8-21, 1864

"," After the Wilderness, Grants and Meades advance on Richmond
by the left flank was stalled at Spotsylvania Court House on May 8. This
two-week battle was a series of combats along the Spotsylvania front. The
Union attack against the Bloody Angle at dawn, May 12-13, captured nearly
a division of Lees army and came near to cutting the Confederate army
in half. Confederate counterattacks plugged the gap, and fighting continued
unabated for nearly 20 hours in what may well have been the most ferociously
sustained combat of the Civil War. On May 19, a Confederate attempt to
turn the Union right flank at Harris Farm was beaten back with severe casualties.
Union generals Sedgwick (VI Corps commander) and Rice were killed. Confederate
generals Johnson and Steuart were captured, Daniel and Perrin mortally
wounded. On May 21, Grant disengaged and continued his advance on Richmond.


"," 30,000 total (US 18,000; CS 12,000)

"," 152,000 total (US 100,000; CS 52,000)


"," Spotsylvania County

"," Combats at Laurel Hill and Corbin�s Bridge (May 8); Ni
River (May 9); Laurel Hill, Po River, and Bloody Angle (May 10); Salient
or Bloody Angle (May 12-13); Piney Branch Church (May 15); Harrison House
(May 18); Harris Farm (May 19)

"," I.2 (Class A)

","  Lt. Gen. Ulysses S. Grant and Maj. Gen. George
G. Meade [US]; Gen. Robert E. Lee [CS]

"," Inconclusive (Grant continued his offensive.)

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Richmond-Petersburg Campaign (June 1864-March 1865)


"," VA113

"," June 25, 1864


"," On June 22, the cavalry divisions of Brig. Gen. James Wilson

and Brig. Gen. August Kautz were dispatched from the Petersburg lines to

disrupt Confederate rail communications.  Riding via Dinwiddie Court

House, the raiders cut the South Side Railroad near Fords Station that

evening, destroying tracks, railroad buildings, and two supply trains.

On June 23, Wilson proceeded to the junction of the Richmond & Danville

Railroad at Burke Station, where he encountered elements of William H.F.

Lees cavalry between Nottoway Court House and Blacks and Whites (modern-day

Blackstone). Wilson followed Kautz along the South Side Railroad, destroying

about thirty miles of track as he advanced. On June 24, while Kautz remained

skirmishing around Burkeville, Wilson crossed over to Meherrin Station

on the Richmond & Danville and began destroying track. On June 25,

Wilson and Kautz continued tearing up track south to the Staunton River

Bridge, where they were delayed by Home Guards, who prevented destruction

of the bridge. Lees cavalry division closed on the Federals from the northeast,

forcing them to abandon their attempts to capture and destroy the bridge.

By this time, the raiders were nearly 100 miles from Union lines.




"," 150 total

"," Divisions (4,000 total)


","  Halifax County and Charlotte


"," Blacks and Whites, Old Men and Young Boys


"," III.3 (Class C)
"," Brig. Gen. James Wilson and Brig. Gen. August

Kautz [US]; Maj. Gen. William H.F. �Rooney  Lee [CS]


","  Confederate victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Longstreets Tidewater Operations (February-May 1863)


"," VA031

","  April 11-May 4, 1863
"," On April 19, a Union infantry force landed on Hills Point
at the confluence of the forks of the Nansemond River. This amphibious
force assaulted Fort Huger from the rear, quickly capturing its garrison,
thus reopening the river to Union shipping. On April 24, Brig. Gen. Michael
Corcorans Union division mounted a reconnaissance-in-force from Fort Dix
against Maj. Gen. George E. Picketts extreme right flank. The Federals
approached cautiously and were easily repulsed. On April 29, Gen. Robert
E. Lee directed Longstreet to disengage from Suffolk and rejoin the Army
of Northern Virginia at Fredericksburg. By May 4, the last of Longstreets
command had crossed the Blackwater River en route to Richmond.

"," 152 total (1,160 for entire siege)


"," Divisions (45,000 total)
"," Suffolk

"," Fort Huger, Hill�s Point

"," II.3 (Class C)
"," Brig. Gen. John Peck [US]; Lt. Gen. James Longstreet
[CS]

"," Inconclusive

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
